job_text,job_type
"Job Summary
NSA is in search of Computer Science professionals to solve complex problems, test innovative approaches and research new solutions to storing, manipulating, and presenting information. We are looking for you to apply your computer science expertise to projects that seek to create new standards for the transformation of information. If you want to develop technologies and tools and be a part of cutting edge innovations ' join our team of experts! Help protect national security interests as part of the world's most advanced team of computer science professionals!
Qualifications
Candidates for the NSA's Data Scientist roles are asked to complete a data science examination evaluating their knowledge of statistics, mathematics, and computer science topics that pertain to data science work. Passing this examination is a requirement in order to be considered for selection into a data scientist position.
Salary Range: $72,351 - $90,157 (Entry/Developmental)
*The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position.
Entry is with a Bachelor's degree and no experience. An Associate's degree plus 2 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position.
Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, and life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count.
Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university.
Relevant experience must be in designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, and/or software engineering. Experience in more than one area is strongly preferred.
Salary Range: $83,692 - $112,240 (Full Performance)
*The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position.
Entry is with a Bachelor's degree plus 3 years of relevant experience or a Master's degree plus 1 year of relevant experience or a Doctoral degree and no experience. An Associate's degree plus 5 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position.
Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g. physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, and life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count.
Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university.
Relevant experience must be in two or more of the following: designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, or software engineering.
Salary Range: $102,663 - $157,709 (Senior)
*The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position.
Entry is with a Bachelor's degree plus 6 years of relevant experience or a Master's degree plus 4 years of relevant experience or a Doctoral degree plus 2 years of relevant experience. An Associate's degree plus 8 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position.
Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g., physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count.
Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university.
Relevant experience must be in two or more of the following: designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, or software engineering.
Salary Range: $142,701 - $170,800 (Expert)
*The qualifications listed are the minimum acceptable to be considered for the position. Salary offers are based on candidates' education level and years of experience relevant to the position and also take into account information provided by the hiring manager/organization regarding the work level for the position.
Entry is with a Bachelor's degree plus 9 years of relevant experience or a Master's degree plus 7 years of relevant experience or a Doctoral degree plus 5 years of relevant experience. An Associate's degree plus 11 years of relevant experience may be considered for individuals with in-depth experience that is clearly related to the position.
Degree must be in Mathematics, Applied Mathematics, Statistics, Applied Statistics, Machine Learning, Data Science, Operations Research, or Computer Science. A degree in a related field (e.g., Computer Information Systems, Engineering), a degree in the physical/hard sciences (e.g., physics, chemistry, biology, astronomy), or other science disciplines (i.e., behavioral, social, life) may be considered if it includes a concentration of coursework (typically 5 or more courses) in advanced mathematics (typically 200 level or higher; such as calculus, differential equations, discrete mathematics) and/or computer science (e.g., algorithms, programming, data structures, data mining, artificial intelligence). College-level Algebra or other math courses intended to meet a basic college level requirement, or upper level math courses designated as elementary or basic do not count.
Note: A broader range of degrees will be considered if accompanied by a Certificate in Data Science from an accredited college/university.
Relevant experience must be in two or more of the following: designing/implementing machine learning, data mining, advanced analytical algorithms, programming, data science, advanced statistical analysis, artificial intelligence, or software engineering.
Competencies
The ideal candidate is someone with a desire for continual learning and strong problem-solving, analytic and interpersonal skills. You might be a great fit for our team if any of the following describe you:
- Completed a degree program in the fields of mathematics, statistics, computer science, computational sciences, or a passion for rigorous analysis of data
- Tenacity, integrity, persistence, and willingness to learn
- Ability to solve complex problems
- Use critical thinking and reasoning to make analytic determinations
- Works effectively in a collaborative environment
- Strong communications skills to both technical and non-technical audiences
- The desire to serve over 300 million fellow Americans and make a difference in world events
Pay, Benefits, & Work Schedule
On the job training, internal NSA courses, and external training will be made available based on the need and experience of the selectee.
Monday - Friday, with basic 8 hr/day requirements between 0800 to 1800 (flexible)
How to apply
To apply for this position, please click the 'Apply' button located at the top right of this posting. After completing the application for the first time, or reviewing previously entered information, and clicking the 'Submit' button, you will receive a confirmation email. Please ensure your spam filters are configured to accept emails from noreply@intelligencecareers.gov.
***PLEASE NOTE: U.S. Citizenship is required for all applicants. Reasonable accommodations provided to applicants with disabilities during the application and hiring process where appropriate. NSA is an equal opportunity employer and abides by applicable employment laws and regulations. All applicants and employees are subject to random drug testing in accordance with Executive Order 12564. Employment is contingent upon successful completion of a security background investigation and polygraph.
This position is a Defense Civilian Intelligence Personnel System (DCIPS) position in the Excepted Service under 10 U.S.C. 1601. DoD Components with DCIPS positions apply Veterans' Preference to eligible candidates as defined by Section 2108 of Title 5 USC, in accordance with the procedures provided in DoD Instruction 1400.25, Volume 2005, DCIPS Employment and Placement. If you are a veteran claiming veterans' preference, as defined by Section 2108 of Title 5 U.S.C., you may be asked to submit documents verifying your eligibility.
Please note that you may be asked a series of questions depending on the position you apply for. Your responses will be used as part of the screening process of your application and will assist in determining your eligibility for the position. Be sure to elaborate on experiences in your resume. Failure to provide the required information or providing inaccurate information will result in your application not being considered for this position. Only those applicants who meet the qualifications for the position will be contacted to begin employment processing.
Please Note: Job Posting could close earlier than the closing date due to sufficient number of applicants or position no longer available. We encourage you to apply as soon as possible.
DCIPS Disclaimer
The National Security Agency (NSA) is part of the DoD Intelligence Community Defense Civilian Intelligence Personnel System (DCIPS). All positions in the NSA are in the Excepted Services under 10 United States Codes (USC) 1601 appointment authority.
arrow_upwardBack to Top",data scientist
"In-Depth Engineering seeks a Data Scientist/Artificial Intelligence Expert to analyze large amounts of raw information from the SWFTS Combat system to find Patterns of Life (PoL) and detect anomalies. Applications for data analysis include tracking, acoustics, imagery, cyber security, and preventive maintenance.
The work will be performed in our Research and Development Lab in Columbia, MD.

Duties:

Define Data collection, ingestion and wrangling approaches
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Collaborate with Navy product users
BS in Computer Science, Engineering or relevant field; graduate degree in Data Science or another quantitative field is preferred
4+ years of proven experience as a Data Scientist
Experience in data mining, artificial intelligence and Machine Learning
Knowledge of R, SQL, Python, Scala, Java or C++ is an asset
Experience with neural networks
Strong math skills (e.g. statistics, algebra)
Possess or have the ability to obtain DoD secret clearance
Must be a U.S Citizen
In-Depth Engineering remains committed to hiring during the period of uncertainty associated with COVID-19. We have implemented extensive policies and procedures, including mandatory use of face masks, social distancing in a low-density engineering lab environment and continuous cleaning. As appropriate, some efforts may be done in a telework environment.

In-Depth Engineering provides a competitive package of salary and benefits, including medical, dental, and vision coverage, a Safe Harbor 401(k) program, generous Paid Time Off (PTO), STD, LTD, life insurance, and tuition assistance for higher education. Prospective employees will receive consideration without discrimination because of race, creed, color, sex, age, national origin, or handicap. We are an Equal Opportunity Employer.",data scientist
"Are you an early career data scientist / analyst / statistical geneticist looking for work? Are you interested in working on the largest Parkinson’s disease genomics and clinical datasets available? Are you passionate about #OpenScience, democratizing research tools and increasing scientific inclusivity?
The COVID19 situation is difficult but we are hiring remote junior staff, targeting an immediate start date. Once the global situation calms in 2021, it is likely the researcher will be needed in the Washington DC area on site approximately two days per week.
Come work with us at NIH on data science projects as part of a diverse team of multidisciplinary scientists that will be helping support the next wave of brain disease initiatives.
We are looking for candidates early in their careers with basic programming skills that are willing to learn and apply new methods and techniques. This position includes general analysis workflows with standard packages (python3, dash, PLINK, HAIL, etc) with responsibilities ranging from data science and machine learning, to data visualization and dashboard builds, as well as some minor data and project management.
This position will include opportunities for on-the-job training, authorship on publications, some independent research, possible scientific conference travel and situational support for continuing education.
Scope of research: Supporting cloud based analysis and data sharing solutions for large genomics and clinical efforts in neurodegenerative disease research. This will focus on running and refining standard analysis, data management and data visualization workflows. Big picture goal is improving open science ecosystems.
Ideal candidate(s): Candidate(s) (under graduate to post-doctoral level) should have some training in bioinformatics and programming (python/R and bash, at least). A basic familiarity with computer clusters and cloud-based computing is ideal. Excellent written and oral communication skills and the ability to work well in teams are required. The incumbent will have a major role in assisting in manuscript preparation and bioinformatic training of other team members, providing technical assistance, and maintaining research continuity within the laboratory.
Additional info: Full time employment on annual contract (30+ hours per week, renewable). Flexible hours + telecommuting. Salary and benefits negotiable / competitive.
Interested candidates should provide the following documents: cover letter, CV and if possible contact info for up to three relevant references.
If interested email: info@datatecnica.com",data scientist
"QSL, in partnership with SAS, is looking for a Geospatial Data Scientist with the ability to manipulate large amounts of data with differing degrees of structure across disparate sources. Typically, this candidate has or is developing data analysis expertise alongside their core geospatial analysis duties. They should be knowledgeable and have experience in some combination of the following: predictive analytics, machine learning, knowledge discovery in databases, optimization, statistical theory, experimentation and/or time series analysis. This candidate also possesses strong interpersonal skills and experience briefing senior leaders.Primary Responsibilities:· Collaborates with IT to prepare and manipulate structured and unstructured data for data discovery and mining from multiple disparate resources.· Builds high-end analytic models, utilizing supervised and unsupervised learning models, to support decision makers with data driven insights that address immediate business problems and objectives.· Creates informative visualizations that intuitively display large amounts of data and/or complex relationships; translates data analytics into coherent reports and presentations for internal and external customer with varying degrees of technical knowledge.· Develops machine learning, artificial intelligence, pattern recognition, optimization or advanced statistics.· Routinely uses anonymized or encrypted data.· Prototypes solutions using varied resources, including SAS software and open source software.Additional Responsibilities· Provides support and inputs for projects and initiatives that contain an analytical component.· Assists with communicating key analytic findings to stakeholders.· Assists in the translation of business needs into analytical opportunities.· Responsible for the support and maintenance of production analytical models as assigned.RequirementsKnowledge, Skills and Abilities· Strong knowledge of applied statistics, probability, data modeling techniques, predictive modeling techniques and in-sample and out-of-sample model assessment.· Strong aptitude with at least two operating system supported by SAS software.· Ability to resolve problems with minimal management assistance, escalating when appropriate.· Ability to communicate with people of various technical backgrounds, think analytically, write and edit technical material, and relate statistical concepts and applications to statistical and non-statistical SAS users.· Business domain expertise in at least one industry or business area.· Performs as a technical leader for data science projects and initiatives as needed.· Responsible for the estimation and scoping of data science efforts.· Provides thought leadership in data science vision and ensure smooth knowledge delivery to executives and stakeholders.· Assists with operational performance and planning for analytical models.Job Type: Full-timePay: $200,000.00 - $225,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceDisability insuranceEmployee assistance programEmployee discountFlexible spending accountHealth insuranceLife insurancePaid time offReferral programVision insuranceSchedule:Day shiftEducation:Associate (Preferred)Experience:Machine Learning: 4 years (Preferred)Python: 4 years (Preferred)Security Clearance:Top Secret (Required)Work Location:One locationCompany's website:https://quickservicesllc.comBenefit Conditions:Waiting period may applyWork Remotely:NoCOVID-19 Precaution(s):Remote interview process",data scientist
"Job #: req9983

Organization: World Bank

Sector: Economics

Grade: GE

Term Duration: 2 years 0 months

Recruitment Type: Local Recruitment

Location: Washington, DC,United States

Required Language(s): English

Preferred Language(s):

Closing Date: 11/20/2020 (MM/DD/YYYY) at 11:59pm UTC

Description

Do you want to build a career that is truly worthwhile? Working at the World Bank Group provides a unique opportunity for you to help our clients solve their greatest development challenges. The World Bank Group is one of the largest sources of funding and knowledge for developing countries; a unique global partnership of five institutions dedicated to ending extreme poverty, increasing shared prosperity and promoting sustainable development. With 189 member countries and more than 120 offices worldwide, we work with public and private sector partners, investing in groundbreaking projects and using data, research, and technology to develop solutions to the most urgent global challenges. For more information, visit www.worldbank.org

Summary

DIME seeks to recruit a Junior Data Scientist as part of the DIME Analytics team. DIME Analytics creates tools that improve the quality of impact evaluation research for all. We take advantage of the concentration and scale of research at DIME to develop and test solutions to ensure high quality of data collection and research quality across our portfolio, and to make public training and tools available to the larger community of development researchers who might not have the same capabilities. We aim to ensure that DIME’s analytical work is high-quality, transferable and replicable.

Description

The Junior Data Scientist will support DIME Analytics efforts to increase data quality, transparency, and reproducibility across the DIME portfolio. The work program will focus on supporting projects and training junior team members with statistical software and data science tools, especially in relation to data management, process and analysis. The Junior Data Scientist will also lead the work on developing standardized ways of coding and best practices based on all experience gained across DIME.

We seek a candidate with expertise in various statistical software and data science tools and their application to development research; strong technical skills in design and analysis of prospective impact evaluation; and the interest and ability to explain and communicate technical programming methodologies in an organized and systematic way. Since most of DIME’s data work is done with Stata and R, proficient knowledge of both of these packages is a requirement for this role. Knowledge and/or willingness to gain command of Python and SurveyCTO is a plus.

Role & Responsibilities:

The Junior Data Scientist will have the following responsibilities:

1. Coordinate DIME’s Research Assistant and Internship programs. This includes managing the selection process, developing and leading the training program, and mentoring new hires.

2. Support and actively promote the adoption of high quality research practices across the DIME portfolio. This includes identifying inefficiencies, developing tools and trainings, and offering customized support.

3. Contribute to the movement toward reproducible research at DIME and the World Bank, and engage with external stakeholders in the broader reproducible research community.

4. Develop and maintain public goods for development economics research, such as the ietoolkit and iefieldkit software packages.

5. Promote the technical solutions and best practices developed by DIME Analytics within the global development community, through seminars, conference presentations and working groups.

6.Collaborate with DIME economists, clients and academic partners to analyze structured and unstructured data, publish well documented, reproducible work, and explore synergies in the data acquired across the portfolio.

7. Serve as point of contact for DIME team members for dealing with expert coding problems. This includes, but is not limited to, supporting projects with data ingestion, data management, data processing, data analysis, webscraping, and version control.

Time division

Activity / Role /Percent of time

Software packages / Lead / 20%
Research Assistant program / Lead / 20%
Project support / Supervision and implementation / 20%
Internship program / Lead / 10%
Code review / Supervision, coordination / 10%
Dissemination / Implementation / 10%
Other trainings and public goods / Implementation /10%
Selection Criteria

Master’s degree in economics, public policy, statistics, data science or related field plus 3-5 years of relevant work experience.
Demonstrated ability to communicate complex coding concepts and teach different statistical software language to audiences with varying levels of computer and coding literacy.
Strong analytical and conceptual skills; demonstrated ability to conduct statistical analysis, and demonstrated experience working on Impact Evaluation analysis are required.
High proficiency in Stata is required, including demonstrated experience developing Stata packages and creating reproducibility packages for projects.
High proficiency in R is required, including Shiny Apps development and proficiency in tidyverse and geospatial analysis packages.
High proficiency on the GitHub platform and GitHub desktop client are required. Proficiency on command line git is a plus.
Demonstrated experience with primary data and survey data collection is highly desirable.
Strong statistical skills in Python, and familiarity with web scraping, text analysis and dashboard development tools are highly desirable.
Strong oral and written communication skills in English are required. Other languages are a plus.
Strong organizational, research/analytical, and presentation skills.
Proven ability and willingness to work as part of a team in a multicultural environment, and work across teams in cross-thematic projects, foster teamwork, and mentor junior staff.

Core competencies

For information about WBG Core Competencies, please visit: https://bit.ly/2kbIA7O. For information about Managerial Competencies, please visit: https://bit.ly/37qPbPC.

General Development Knowledge and Analytical Skills: Demonstrates knowledge of cross-country information and the ability to link the macro, institutional, and micro-level behaviors; able to support findings/policy recommendations with credible analysis and tools.
Drive for Results: Takes personal ownership and accountability to meet deadlines and achieve agreed-upon results and has the personal organization to do so.
Collaborate Within Teams and Across Boundaries: initiates collaboration beyond the team.
Create, Apply and Share Knowledge: Proactively and regularly shares knowledge.
Make Smart Decisions: Identifies information needed to support decisions.
Business Judgment and Analytical Decision Making: Analyzes facts and data to support sound, logical decisions regarding own and others' work.

Poverty has no borders, neither does excellence. We succeed because of our differences and we continuously search for qualified individuals with diverse backgrounds from around the globe.",data scientist
"Company informationCoverent is a specialized consulting services firm focused on developing innovative solutions to the most challenging problems facing our nation. We are growing quickly, but focused on maintaining our commitment to fantastic results and a fair, flexible, and fun culture:Are you interested in working for a boutique firm who sees its employees as more than just a number?Are you intrigued by the notion of joining a small team of talented, passionate consultants with a clear vision to help our clients achieve their missions better, smarter, faster?Does a company culture that emphasizes outcomes, fairness, and flexibility sound appealing?Would you like to be rewarded for your contributions, via programs like annual bonuses and company profit sharing?Would you appreciate having a choice of options from top-notch benefit providers for medical and retirement plans?Are you interested in a learning culture that is forward-leaning regarding training, education, and professional development?If you answer YES to these questions, Coverent could be the employer of choice for you. Description of roleCoverent is seeking a Senior Data Science Consultant to lead program evaluation activities for a client in the US Intelligence Community. On this project, the Consultant will have the opportunity to demonstrate intellectual agility by leading data collection and data analysis activities to produce key performance insights. Furthermore, they will lead the implementation of recommendations when they are adopted by the customer. This project features the opportunity to interact with a wide range of key stakeholders, including those at senior levels. This is an exciting opportunity for an intellectually curious, energetic consultant to work on a project with real impact helping our client develop ways to understand and improve performance of activities that support delivery of the mission.ResponsibilitiesConsult with clients on the development, prioritization and implementation of process improvement and impact evaluations tasks.Develop recommendations for changes to policy, processes, communications and training to enable achievement of vision. Develop and implement research designs with practical strategies for measuring performance of organizational units and/or unit activities to include development of performance measures and design of actionable methods for collecting and analyzing data, and implement strategies and refine as needed.Perform a variety of research activities to include document reviews, structured interviews, and gap analyses, and involves stakeholder identification and logistical coordination for data collection activities and documentation of discussions.Analyze both qualitative and quantitative information to provide customer with comprehensive insights into organizational strengths and challenge areas.Prepare visual presentations of data and analysis.Prepare reports and presentations for senior leadership based on research plans, activities, findings and recommendations.Brief senior level customers on research plans, activities, findings and recommendations.Requirements U.S. CitizenshipActive TS/SCI clearance w/ PolyMust have a Bachelor’s degree ; Master’s degree in business, social science, or behavioral science preferred3+ years of experience in a consulting role in the ICExperience extracting insights from social media data using data analysis techniquesExperience developing and implementing change management strategiesDemonstrated experience designing and implementing organizational or programmatic performance measurement strategiesProven ability to analyze data and translate analysis into meaningful insightsGeneral understanding of data coding, data integrity, and statistical sampling and analysis conceptsExperience developing presentations and providing briefings to middle and senior managementExcellent oral and written communication skills, including visual representation of data using charts and graphsAdvanced proficiency with MS Excel and PowerPointAbility to perform in an individual contributor role while also excelling in a team environmentAbility to analyze information and identify implications for policy, processes, communications and trainingDemonstrated experience leading qualitative research and program evaluation activities to include experience leading structured interviewsFamiliarity with industry-standard data science and visualization toolsFamiliarity with advanced statistical conceptsSome knowledge of Python scriptingIndeed Hire and Coverent are working together to find the best candidate for this job. __**By applying, you agree to be contacted by our agent, Indeed Hire, and receive updates via text and phone about your application.Job Type: Full-timePay: $140,000.00 - $185,000.00 per yearExperience:extracting insights from social media data: 1 year (Required)developing and implementing change management strategies: 1 year (Required)analyze data and translate analysis into meaningful insights: 1 year (Required)Education:Bachelor's (Required)License:TS/SCI clearance w/ Full-Scope Polygraph (Required)Security Clearance Required:Top Secret (Required)Benefits:NoneSchedule:Other",data scientist
"Data Scientist I/II/IIIJob Description: Psomagen, Inc. (formerly known as Macrogen Corp.) in Rockville, MD is seeking Computational Scientists/Bioinformaticians to work on implementing analytic pipelines, computational analysis, and/or interpretation for clinical data generated from high throughput next generation sequencing platforms. Computational expertise such as Python, Java, or Perl and proficiency in Linux and Grid/cloud computing familiarity are plus and desirable.Requirements / Preferences: Bachelor relevant to Biology/Bioinformatics/Computer Science fields are requiredBiological backgrounds with a desire working in computational environment are plusFamiliarity with Linux/Unix environment and shell script programming are preferredGood communication, interpersonal and presentation skills for team works are requiredPrior experiences analyzing NGS data analysis are plusExperience to using bioinformatics tools and familiarity with genomic database are plusJob Type: Full-timeBenefits:401(k)401(k) matchingDental insuranceHealth insurancePaid time offParental leaveProfessional development assistanceRelocation assistanceRetirement planVision insuranceSchedule:Monday to FridayOvertimeThis Company Describes Its Culture as:Detail-oriented -- quality and precision-focusedOutcome-oriented -- results-focused with strong performance cultureStable -- traditional, stable, strong processesCompany's website:www.psomagen.comBenefit Conditions:Waiting period may applyOnly full-time employees eligible",data scientist
"About DataRobot

DataRobot is the leader in enterprise AI, delivering trusted AI technology and enablement services to global enterprises competing in today's Intelligence Revolution. DataRobot's enterprise AI platform democratizes data science with end-to-end automation for building, deploying, and managing machine learning models. This platform maximizes business value by delivering AI at scale and continuously optimizing performance over time. The company's proven combination of cutting-edge software and world-class AI implementation, training, and support services, empowers any organization – regardless of size, industry, or resources – to drive better business outcomes with AI.

With a singular focus on AI since its inception, DataRobot has a proven track record of delivering AI with ROI. DataRobot has offices across the globe and $431 million in funding from top-tier firms, including New Enterprise Associates, Sapphire Ventures, Meritech, and DFJ Growth. For more information, visit https://www.datarobot.com, and join the conversation on Twitter and LinkedIn.

As a Data Scientist on DataRobot's Federal Team, you will work on various real-world problems across government agencies. You will be developing predictive models that add value to these agencies and integrating those models into their environments.

Ideal candidates enjoy day-to-day data science problem-solving mixed with high levels of customer interaction.


Main Requirements

3+ years of real-world business experience with data science projects
Hands-on experience building and implementing predictive models
Experience with machine learning techniques
Strong understanding of applied statistics and data mining/munging techniques
Excellent organizational, communication, writing and interpersonal skills
Fluency with one of the scripting languages (Python / R)


Desired Skills

Consulting experience
Familiarity with Hadoop and related Big Data technologies
Familiarity with a variety of technical tools for the manipulation of datasets
Data visualization

Must be US citizen.

Individuals seeking employment at DataRobot are considered without regards to race, color, religion, national origin, age, sex, marital status, ancestry, physical or mental disability, veteran status, gender identity, or sexual orientation.",data scientist
"Tuvli, an Akima Company, is dedicated to providing our customers with superior, integrated technology and program support services and solutions. Our systems engineering, information technology, information assurance, program support and project management staff work closely with customers to ensure that our solutions are directly aligned with their business processes and desired program outcomes. We emphasize affordability, and delivering the best value for technology investments. Our personnel enjoy competitive benefits packages and challenging roles in work environments committed to innovation, diversity and opportunity for career growth. As an Alaska Native Corporation (ANC), 100% of our company’s profits go back to our 14,300 Iñupiat shareholders that have resided near and above the Arctic Circle for more than 10,000 years. Our business helps support their way of life and contributes to the survival of a culture that has thrived in a challenging environment.

Job Summary:

Data Scientist shall provide support services to include data modeling, programming, maintaining , optimizing, and retrieving CSO/AA data, and product generation to complement the skills of existing staff in order to satisfy current and future demand for services provided to internal and interagency customers.

Responsibilities:
Advise and consult with AA leadership on the development and instantiation of data science capacity within AA’s existing workflows.
Adhere to and integrate Political Science and Conflict theory into the formulation of data science-based products.
Working with existing staff, conceptualize, design, build, populate, test, and analyze products using data science techniques.
Facilitate the ETL process to optimize data ingestion, cleaning, joining, merging, and automation for use in AA and IMAP products.
Assist AA staff in identifying best practices in the ingestion, storage, retrieval, and retirement of data.
Identify and facilitate the ingestion or generation of new sources of data relevant to CSO’s work.

Qualifications

Minimum Qualifications:
Master’s degree in Computer Science, Statistics, Analytics, or related field.
At least four years of relevant proven experience in the field of data science.
Experience with the Extract, Transform, and Load (ETL) process and its implementation.
Experience working with Application Programming Interfaces (API)
Experience automating analytical processes.
Active TS/SCI clearance
Desired Skills:
A history of creative problem solving and successfully collaborating with cross-functional teams.
Ability to thrive in a fast-paced environment.
Expert user of R and/or Python.
Expertise in SQL and working with RDBs.
Familiarity with ArcGIS and Tableau preferred.
Previous work or experience working with conflict data or work in the fields of foreign policy, national security, or international relations preferred.
Ability to overcome infrastructural limitations through creative use of available tools and resources


The duties and responsibilities listed in this job description generally cover the nature and level of work being performed by individuals assigned to this position. This is not intended to be a complete list of all duties, responsibilities, and skills required. Subject to the terms of an applicable collective bargaining agreement, the company management reserves the right to modify, add, or remove duties and to assign other duties as may be necessary. We wish to thank all applicants for their interest and effort in applying for the position; however, only candidates selected for interviews will be contacted.
We are an equal opportunity employer. All applicants will receive consideration for employment, without regard to race, color, religion, creed, national origin, gender or gender-identity, age, marital status, sexual orientation, veteran status, disability, pregnancy or parental status, or any other basis prohibited by law.

We are committed to Equal Employment Opportunity and providing reasonable accommodations to applicants with physical and/or mental disabilities. If you have a physical and/or mental disability and are interested in applying for employment and need special accommodations to use our website to apply for a position please contact, Recruiting Services at job-assist@akima.com or 571-353-7053. Reasonable accommodation requests are considered on a case-by-case basis.

The dedicated email and telephonic options above are reserved only for individuals with disabilities needing accessibility assistance to apply to an open position using our website.

Please do not use the dedicated email or phone number above to inquire on the status of your job application.

In order for our company to stay compliant with government regulations, please apply on line. Please DO NOT email resumes or call in lieu of applying online unless you have a physical and/or mental disability and need assistance with the online application.

Shift: Day Job
Primary Location: US-DC-Washington
Organization: Tuvli, LLC
Job: Office & Administrative Support
Closing Date (Period for Applying) - External: Ongoing
Travel: Yes, 25 % of the Time
Clearance Level: TS/SCI",data scientist
"Overview:

LMI is currently seeking a Data Engineer/Developer within LMI’s Digital and Analytic Solutions practice supporting NASA’s HQ Workforce Analytics. Key responsibilities include managing the database infrastructure, data engineering process automation (SQL Server and custom Python middleware application), attrition forecasting, and support recurring and ad hoc analytic requirements. Our ideal candidate is an independent worker who loves data and data system optimization.

**This position is located at a client site in Washington, DC**
Responsibilities:

LMI is seeking a broadly skilled Data Scientist/Engineer, who will support the development and maintenance of information systems at NASA. This includes:
Maintaining and developing the client’s data aggregation and transformation pipeline architecture (SQL Server, Python)
Automating routine tasks with programmatic workflows (Python, VBA)
Preparing analytical reports and assessments, including attrition modeling, statistical workforce analysis, and more
Identifying and recommending data migration strategies to help transition legacy systems to advanced, enterprise-based solutions
Preparing strategic and tactical recommendations to advise senior leader decisions regarding the applicability and application of data technologies
Applying data standards and best practices while adhering to applicable federal laws, policies, directives, mandates and guidance, to include data protection of sensitive information (e.g. Personal identifiable information (PII) and Protected Health information (PHI))
Qualifications:
1+ years of experience building data pipelines, data migration, ETL, and automation
Bachelor’s degree in data science, mathematics, statistics, economics, computer science, engineering, or a related business or quantitative discipline
Experience with object-oriented programming with Python
Knowledge of relational SQL database systems, preferably Microsoft SQL Server
Experience with data wrangling and warehousing
Strong written and verbal communication skills
Preferred Qualifications:
Software development skills (in Python), especially for data process automation (SQL and VBA), backend and middleware applications
Interest in time series forecasting, e.g., attrition modeling
Degree in computer science, information science, statistics, or another quantitative field
Master's degree
2+ years of experience providing data engineering support for IT-based systems
Knowledge of HR information systems, federal IT preferred
Experience with project management
Bonus: Experience with NASA’s Personnel Data Warehouse and other NASA infrastructure and applications",data scientist
